Protein accession number	Protein Name	location		
YDL175C	"AIR2  RING finger protein that interacts with the arginine methyltransferase Hmt1p; may regulate methylation of Npl3p, which modulates Npl3p function in mRNA processing and export; has similarity to Air1p"	nuclear		
YBR211C	"AME1 (ARP100) Essential kinetochore protein associated with microtubules and spindle pole bodies; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance"	nuclear		
YCL050C	"APA1 (DTP1) Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa2p"	nuclear		
YNL172W	"APC1  Largest subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition"	nuclear		
YDR118W	"APC4  Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition"	nuclear		
YKL114C	"APN1  Major apurinic/apyrimidinic endonuclease, 3'-repair diesterase involved in repair of DNA damage by oxidation and alkylating agents; controls spontaneous mutations"	nuclear		
YER036C	"ARB1  ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis, has similarity to Gcn20p; shuttles from nucleus to cytoplasm, physically interacts with Tif6p, Lsg1p"	nuclear		
YJL081C	"ARP4 (ACT3) Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes"	nuclear		
YNL059C	"ARP5  Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes"	nuclear		
YLR085C	"ARP6  Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes"	nuclear		
YPR034W	ARP7 (SWP61) Actin-related protein involved in transcriptional regulation; subunit of the chromatin remodeling Snf/Swi complex	nuclear		
YMR033W	ARP9 (SWP59) Actin-related protein involved in transcriptional regulation; subunit of the chromatin remodeling Snf/Swi complex	nuclear		
YDR101C	ARX1  Protein associated with the ribosomal export complex	nuclear		
YJL115W	"ASF1 (CIA1) Nucleosome assembly factor, involved in chromatin assembly after DNA replication, anti-silencing protein that causes derepression of silent loci when overexpressed"	nuclear		
YKL185W	"ASH1  Zinc-finger inhibitor of HO transcription; mRNA is localized and translated in the distal tip of anaphase cells, resulting in accumulation of Ash1p in daughter cell nuclei and inhibition of HO expression; potential Cdc28p substrate"	nuclear		
YKL052C	"ASK1  Essential subunit of the DASH microtubule ring complex, couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; phosphorylated during the cell cycle by cyclin-dependent kinases"	nuclear		
YJR148W	"BAT2 (ECA40,TWT2) Cytosolic branched-chain amino acid aminotransferase, homolog of murine ECA39; highly expressed during stationary phase and repressed during logarithmic phase"	nuclear		
YHR040W	BCD1  Essential protein required for the accumulation of box C/D snoRNA	nuclear		
YDR361C	"BCP1  Essential protein involved in nuclear export of Mss4p, which is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport"	nuclear		
YIL033C	"BCY1 (SRA1) Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA), a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation"	nuclear		
YLR399C	BDF1  Protein involved in transcription initiation at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf2p	nuclear		
YDL070W	BDF2  Protein involved in transcription initiation at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf1p	nuclear		
YNL039W	"BDP1 (TFC5) Essential subunit of RNA polymerase III transcription factor (TFIIIB), which is involved in transcription of genes encoding tRNAs, 5S rRNA, U6 snRNA, and other small RNAs"	nuclear		
YDR299W	BFR2  Essential protein possibly involved in secretion; multicopy suppressor of sensitivity to Brefeldin A	nuclear		
YCL029C	"BIK1 (PAC14,ARM5) Microtubule-associated protein, component of the interface between microtubules and kinetochore, involved in sister chromatid separation; essential in polyploid cells but not in haploid or diploid cells; ortholog of mammalian CLIP-170"	nuclear		
YFL007W	"BLM10 (YFL006W) Proteosome activator subunit; found in association with core particles, with and without the 19S regulatory particle; required for resistance to bleomycin, may be involved in protecting against oxidative damage; similar to mammalian PA200"	nuclear		
YER177W	"BMH1 (APR6) 14-3-3 protein, major isoform; binds proteins and DNA, involved in regulation of many processes including exocytosis and vesicle transport, Ras/MAPK signaling during pseudohyphal development, rapamycin-sensitive signaling, and others"	nuclear		
YDR099W	"BMH2 (SCD3) 14-3-3 protein, minor isoform; binds proteins and DNA, involved in regulation of many processes including exocytosis and vesicle transport, Ras/MAPK signaling during pseudohyphal development, rapamycin-sensitive signaling, and others"	nuclear		
YPL217C	"BMS1  Essential conserved nucleolar GTP-binding protein required for synthesis of 40S ribosomal subunits and for processing of the 35S pre-rRNA at sites A0, A1, and A2; interacts with Rcl1p, has similarity to Tsr1p"	nuclear		
YDL074C	"BRE1  E3 ubiquitin ligase for Rad6p, required for the ubiquitination of histone H2B, recruitment of Rad6p to promoter chromatin and subsequent methylation of histone H3 (on L4 and L79), contains RING finger domain"	nuclear		
YLR015W	"BRE2 (CPS60) Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; involved in telomere maintenance; similar to trithorax-group protein ASH2L"	nuclear		
YBL097W	"BRN1  Essential protein required for chromosome condensation, likely to function as an intrinsic component of the condensation machinery, may influence multiple aspects of chromosome transmission and dynamics"	nuclear		
YPR057W	"BRR1  snRNP protein component of spliceosomal snRNPs, required for pre-mRNA splicing and snRNP biogenesis; in null mutant newly-synthesized snRNAs are destabilized and 3'-end processing is slowed"	nuclear		
YER172C	"BRR2 (PRP44,SNU246,SLT22,RSS1) RNA-dependent ATPase RNA helicase involved in the facilitation and disruption of snRNA interactions, required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis"	nuclear		
YOL077C	"BRX1  Nucleolar protein, constituent of 66S pre-ribosomal particles; depletion leads to defects in rRNA processing and a block in the assembly of large ribosomal subunits; possesses a sigma(70)-like RNA-binding motif"	nuclear		
YGL174W	"BUD13 (CWC26) Subunit of the RES complex, which is required for nuclear pre-mRNA retention and splicing; involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern"	nuclear		
YLR074C	BUD20  Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern	nuclear		
YOR078W	"BUD21 (YOR29-29,UTP16) Component of small ribosomal subunit (SSU) processosome that contains U3 snoRNA; originally isolated as bud-site selection mutant that displays a random budding pattern"	nuclear		
YMR014W	BUD22  Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern	nuclear		
YCR047C	BUD23  Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern	nuclear		
YGR262C	BUD32 (LDB14) Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern	nuclear		
YLR226W	BUR2 (CST4) Cyclin for the Sgv1p (Bur1p) protein kinase; Sgv1p and Bur2p comprise a CDK-cyclin complex involved in transcriptional regulation through its phosphorylation of the carboxy-terminal domain of the largest subunit of RNA polymerase II	nuclear		
YKL005C	"BYE1  Negative regulator of transcription elongation, contains a TFIIS-like domain and a PHD finger, multicopy suppressor of temperature-sensitive ess1 mutations, probably binds RNA polymerase II large subunit"	nuclear		
YER048C	"CAJ1  Nuclear type II J heat shock protein of the E. coli dnaJ family, contains a leucine zipper-like motif, binds to non-native substrates for presentation to Ssa3p, may function during protein translocation, assembly and disassembly"	nuclear		
YPL048W	"CAM1 (EF-1 gamma,TEF3) Translational cofactor elongation factor-1 gamma, participates in the regulation of GTP-binding protein EF-1 alpha, may play a redundant role in the regulation of protein synthesis or another GTP-dependent process"	nuclear		
YLR438W	"CAR2  L-ornithine transaminase (OTAse), catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive"	nuclear		
YPL178W	"CBC2 (CBP20,SAE1,MUD13) Small subunit of the heterodimeric cap binding complex that also contains Sto1p, component of the spliceosomal commitment complex; interacts with Npl3p, possibly to package mRNA for export from the nucleus; contains an RNA-binding motif"	nuclear		
YJR060W	"CBF1 (CPF1,CEP1) Helix-loop-helix protein that binds the motif CACRTG, which is present at several sites including MET gene promoters and centromere DNA element I (CDEI); required for nucleosome positioning at this motif; targets Isw1p to DNA"	nuclear		
YLR175W	"CBF5  Component of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs), probable rRNA pseudouridine synthase, binds to snoRNP Nop10p and also interacts with ribosomal biogenesis protein Nop53p"	nuclear		
YPR025C	"CCL1  Cyclin associated with protein kinase Kin28p, which is the TFIIH-associated carboxy-terminal domain (CTD) kinase involved in transcription initiation at RNA polymerase II promoters"	nuclear		
YFR028C	"CDC14 (OAF3) Protein phosphatase required for mitotic exit; located in the nucleolus until liberated by the FEAR and Mitotic Exit Network in anaphase, enabling it to act on key substrates to effect a decrease in CDK/B-cyclin activity and mitotic exit"	nuclear		
YKL022C	"CDC16  Subunit of the anaphase-promoting complex/cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; required for sporulation"	nuclear		
YDL102W	"CDC2 (TEX1,POL3,HPR6) Catalytic subunit of DNA polymerase delta; required for chromosomal DNA replication during mitosis and meiosis, intragenic recombination, repair of double strand DNA breaks, and DNA replication during nucleotide excision repair (NER)"	nuclear		
YOR074C	"CDC21 (YOR29-25,TMP1,CRT9) Thymidylate synthase, required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S"	nuclear		
YHR166C	"CDC23  Subunit of the anaphase-promoting complex/cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition"	nuclear		
YBR160W	"CDC28 (SRM5,HSL5,CDK1) Catalytic subunit of the main cell cycle cyclin-dependent kinase (CDK); alternately associates with G1 cyclins (CLNs) and G2/M cyclins (CLBs) which direct the CDK to specific substrates"	nuclear		
YOR257W	"CDC31 (DSK1) Component of the spindle pole body (SPB) half-bridge, required for SPB duplication in mitosis and meiosis II; homolog of mammalian centrin; interacts with Kar1p"	nuclear		
YOL139C	"CDC33 (eIF-4E,TIF45) Cytoplasmic mRNA cap binding protein; the eIF4E-cap complex is responsible for mediating cap-dependent mRNA translation via interactions with the translation initiation factor eIF4G (Tif4631p or Tif4632p)"	nuclear		
YDR054C	"CDC34 (UBC3,DNA6) Ubiquitin-conjugating enzyme or E2; together with Skp1p, Rbx1p, Cdc53p, and an F-box protein, forms a ubiquitin-protein ligase called the SCF complex which regulates cell cycle progression by targeting key substrates for degradation"	nuclear		
YDL165W	"CDC36 (NOT2,DNA19) Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor"	nuclear		
YFL009W	"CDC4  F-box protein required for G1/S and G2/M transition, associates with Skp1p and Cdc53p to form a complex, SCFCdc4, which acts as ubiquitin-protein ligase directing ubiquitination of the phosphorylated CDK inhibitor Sic1p"	nuclear		
YDR364C	"CDC40 (SLU4,SLT15,PRP17) Pre-mRNA splicing factor, important for catalytic step II of pre-mRNA splicing and plays a role in cell cycle progression; required for DNA synthesis during mitosis and meiosis; has WD repeats"	nuclear		
YLR274W	"CDC46 (MCM5,BOB1) Component of the hexameric MCM complex, which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase"	nuclear		
YBR202W	"CDC47 (MCM7) Component of the hexameric MCM complex, which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase"	nuclear		
YDL126C	"CDC48  ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97; in a complex with Npl4p and Ufd1p participates in retrotranslocation of ubiquitinated proteins from the ER into the cytosol for degradation by the proteasome"	nuclear		
YPR019W	"CDC54 (MCM4,HCD21) Essential helicase component of heterohexameric MCM2-7 complexes which bind pre-replication complexes on DNA and melt the DNA prior to replication; accumulates in the nucleus in G1; homolog of S. pombe Cdc21p"	nuclear		
YGL190C	CDC55  Non-essential regulatory subunit B of protein phosphatase 2A; has multiple roles in mitosis and protein biosynthesis; found in the nucleus of most cells but also at the bud neck (large-budded cells) and at the bud tip (small-budded cells)	nuclear		
YJL194W	"CDC6  Essential ATP-binding protein required for DNA replication, component of the pre-replicative complex (pre-RC) which requires ORC to associate with chromatin and is in turn required for Mcm2-7p DNA association; homologous to S. pombe Cdc18p"	nuclear		
YLR418C	"CDC73  Substituent of Paf1 complex with RNA polymerase II, Paf1p, Hpr1p, Ctr9, Leo1, Rtf1 and Ccr4p, distinct from Srb-containing Pol II complexes; required for expression of certain genes, modification of some histones, and telomere maintenance"	nuclear		
YDL164C	"CDC9 (MMS8) DNA ligase found in the nucleus and mitochondria, an essential enzyme that joins Okazaki fragments during DNA replication; also acts in nucleotide excision repair, base excision repair, and recombination"	nuclear		
YPL042C	"CDK8 (SSN3,RYE5,UME5,SRB10,NUT7,GIG2) MEDIATOR COMPONENT CDK8"	nuclear		
YMR213W	"CEF1 (NTC85) Essential splicing factor; associated with Prp19p and the spliceosome, contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association, evolutionarily conserved and homologous to S. pombe Cdc5p"	nuclear		
YGL130W	"CEG1  Alpha (guanylyltransferase) subunit of the mRNA capping enzyme, a heterodimer (the other subunit is CET1, an RNA 5'-triphophatase) involved in adding the 5' cap to mRNA; the mammalian enzyme is a single bifunctional polypeptide"	nuclear		
YMR168C	"CEP3 (CSL1,CBF3B,CBF3) Essential kinetochore protein, component of the CBF3 complex that binds the CDEIII region of the centromere; contains an N-terminal Zn2Cys6 type zinc finger domain, a C-terminal acidic domain, and a putative coiled coil dimerization domain"	nuclear		
YPL228W	"CET1 (CES5) Beta (RNA 5'-triphosphatase) subunit of the mRNA capping enzyme, a heterodimer (the other subunit is CEG1, a guanylyltransferase) involved in adding the 5' cap to mRNA; the mammalian enzyme is a single bifunctional polypeptide"	nuclear		
YDR301W	"CFT1 (YHH1) RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly(A) site recognition and required for both pre-mRNA cleavage and polyadenylation, 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF"	nuclear		
YLR115W	"CFT2 (YDH1) Subunit of the mRNA cleavage and polyadenlylation factor (CPF); required for pre-mRNA cleavage, polyadenylation and poly(A) site recognition, 43% similarity with the mammalian CPSF-100 protein."	nuclear		
YGL029W	CGR1  Protein involved in nucleolar integrity and processing of the pre-rRNA for the 60S ribosome subunit; transcript is induced in response to cytotoxic stress but not genotoxic stress	nuclear		
YER164W	"CHD1  Nucleosome remodeling factor that functions in regulation of transcription elongation; contains a chromo domain, a helicase domain and a DNA-binding domain; component of both the SAGA and SILK complexes"	nuclear		
YHR052W	CIC1 (NSA3) Essential protein that interacts with proteasome components and has a potential role in proteasome substrate specificity; also copurifies with 66S pre-ribosomal particles	nuclear		
YIL035C	"CKA1  Alpha catalytic subunit of casein kinase 2, a Ser/Thr protein kinase with roles in cell growth and proliferation; the holoenzyme also contains CKA2, CKB1 and CKB2, the many substrates include transcription factors and all RNA polymerases"	nuclear		
YOR061W	"CKA2 (YOR29-12) Alpha' catalytic subunit of casein kinase 2, a Ser/Thr protein kinase with roles in cell growth and proliferation; the holoenzyme also contains CKA1, CKB1 and CKB2, the many substrates include transcription factors and all RNA polymerases"	nuclear		
YGL019W	"CKB1  Beta regulatory subunit of casein kinase 2, a Ser/Thr protein kinase with roles in cell growth and proliferation; the holoenzyme also contains CKA1, CKA2 and CKB2, the many substrates include transcription factors and all RNA polymerases"	nuclear		
YOR039W	"CKB2  Beta' regulatory subunit of casein kinase 2, a Ser/Thr protein kinase with roles in cell growth and proliferation; the holoenzyme also contains CKA1, CKA2 and CKB1, the many substrates include transcription factors and all RNA polymerases"	nuclear		
YBR135W	"CKS1  Subunit of the Cdc28 protein kinase, required for mitotic proteolysis, may also be involved in the proteolysis of the G1 cyclins"	nuclear		
YLR117C	"CLF1 (NTC77,SYF3) Essential splicesome assembly factor; contains multiple tetratricopeptide repeat (TPR) protein-binding motifs and interacts specifically with many spliceosome components, may serve as a scaffold during splicesome assembly"	nuclear		
YOR250C	"CLP1  Subunit of cleavage factor I (CFI), involved in both the endonucleolyitc cleavage and polyadenylation steps of mRNA 3'-end maturation"	nuclear		
YDR155C	"CPR1 (CPH1,CYP1) Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A"	nuclear		
YGR218W	"CRM1 (XPO1,KAP124) Major karyopherin, involved in export of proteins, RNAs, and ribosomal subunits from the nucleus"	nuclear		
YKL049C	"CSE4 (CSL2) Centromere protein that resembles histones, required for proper kinetochore function; homolog of human CENP-A"	nuclear		
YNL232W	"CSL4 (SKI4) Subunit of the exosome, which is an essential complex present in both nucleus and cytoplasm that mediates RNA processing and degradation"	nuclear		
YCR086W	"CSM1  Nucleolar protein that forms a complex with Lrs4p which binds Mam1p at kinetochores during meiosis I to mediate accurate chromosome segregation, may be involved in premeiotic DNA replication; possible role in telomere maintenance"	nuclear		
YJR084W	"CSN12  Subunit of the Cop9 signalosome, which is required for deneddylation, or removal of the ubiquitin-like protein Rub1p from Cdc53p (cullin); involved in adaptation to pheromone signaling"	nuclear		
YMR094W	"CTF13 (CBF3C) Subunit of the CBF3 complex, which binds to the CDE III element of centromeres, bending the DNA upon binding, and may be involved in sister chromatid cohesion during mitosis"	nuclear		
YMR078C	CTF18 (CHL12) Subunit of a complex with Ctf8p that shares some subunits with Replication Factor C and is required for sister chromatid cohesion; may have overlapping functions with Rad24p in the DNA damage replication checkpoint	nuclear		
YPL018W	"CTF19 (MCM18) Outer kinetochore protein, required for accurate mitotic chromosome segregation; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as a platform for kinetochore assembly"	nuclear		
YPR135W	"CTF4 (POB1,CHL15) Chromatin-associated protein, required for sister chromatid cohesion; interacts with DNA polymerase alpha (Pol1p) and may link DNA synthesis to sister chromatid cohesion"	nuclear		
YPL181W	CTI6 (RXT1) Protein that relieves transcriptional repression by binding to the Cyc8p-Tup1p corepressor and recruiting the SAGA complex to the repressed promoter; contains a PHD finger domain	nuclear		
YKL139W	"CTK1  Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing"	nuclear		
YJL006C	"CTK2  Beta subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing; has similarity to cyclins"	nuclear		
YML112W	"CTK3  Gamma subunit of C-terminal domain kinase I (CTDK-I), which phosphorylates the C-terminal repeated domain of the RNA polymerase II large subunit (Rpo21p) to affect both transcription and pre-mRNA 3' end processing"	nuclear		
YOL145C	"CTR9 (CDP1) Component of the Paf1p complex, which is a large complex that binds to and modulates the activity of RNA polymerase II and is required for expression of a subset of genes, including cyclin genes; contains TPR repeats"	nuclear		
YMR240C	"CUS1  Protein required for assembly of U2 snRNP into the spliceosome, forms a complex with Hsh49p and Hsh155p"	nuclear		
YNL286W	"CUS2  Protein that binds to U2 snRNA and Prp11p, may be involved in U2 snRNA folding; contains two RNA recognition motifs (RRMs)"	nuclear		
YDL209C	"CWC2 (NTC40) Protein involved in pre-mRNA splicing, component of a complex containing Cef1p; interacts with Prp19p; contains an RNA recognition motif; has similarity to S. pombe Cwf2p"	nuclear		
YDR482C	"CWC21  Component of a complex containing Cef1p, putatively involved in pre-mRNA splicing; may bind RNA; has similarity to S. pombe Cwf21p"	nuclear		
YGL128C	"CWC23  Component of a complex containing Cef1p, putatively involved in pre-mRNA splicing; has similarity to E. coli DnaJ and other DnaJ-like proteins and to S. pombe Cwf23p"	nuclear		
YNL245C	"CWC25  Component of a complex containing Cef1p, involved in pre-mRNA splicing; has similarity to S. pombe Cwf25p"	nuclear		
YBR112C	"CYC8 (SSN6,CRT8) General transcriptional co-repressor, acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters"	nuclear		
YKR083C	"DAD2 (HSK1) Essential subunit of the DASH microtubule ring complex, couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis"	nuclear		
YGR113W	"DAM1  Essential subunit of the DASH microtubule ring complex, couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; Ipl1p target for regulating kinetochore-MT attachments"	nuclear		
YDL031W	"DBP10  Putative ATP-dependent RNA helicase of the DEAD-box protein family, constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis"	nuclear		
