"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Protein Groups"
"False"	"High"	"IsMasterProteinRejected"	"Q99231"	"Transposon Ty1-DR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR3 PE=1 SV=2"	"0.000"	"438.762"	"29"	"41"	"253"	"0"	"1755"	"198.7"	"8.41"	"832.10"	"41"	"0"
"False"	"High"	"None"	"Q12316"	"Transposon Ty1-GR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-GR3 PE=3 SV=3"	"0.000"	"435.515"	"28"	"41"	"252"	"0"	"1755"	"198.4"	"8.46"	"773.90"	"41"	"0"
"False"	"High"	"None"	"Q04670"	"Transposon Ty1-MR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-MR2 PE=3 SV=2"	"0.000"	"431.274"	"31"	"42"	"249"	"0"	"1755"	"198.4"	"8.63"	"766.83"	"42"	"0"
"False"	"High"	"IsMasterProteinRejected"	"Q03855"	"Transposon Ty1-DR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR1 PE=3 SV=2"	"0.000"	"421.070"	"29"	"42"	"244"	"0"	"1755"	"198.5"	"8.41"	"762.42"	"42"	"0"
"False"	"High"	"None"	"P0C2J1"	"Transposon Ty1-PR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-PR3 PE=1 SV=1"	"0.000"	"419.444"	"27"	"38"	"248"	"8"	"1755"	"198.3"	"7.93"	"793.90"	"38"	"1"
"False"	"High"	"IsMasterProtein"	"Q05022"	"rRNA biogenesis protein RRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RRP5 PE=1 SV=1"	"0.000"	"415.375"	"30"	"47"	"247"	"47"	"1729"	"193.0"	"6.19"	"757.19"	"47"	"1"
"False"	"High"	"None"	"O13535"	"Transposon Ty1-H Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-H PE=3 SV=1"	"0.000"	"408.895"	"27"	"38"	"241"	"0"	"1793"	"202.7"	"8.32"	"752.55"	"38"	"0"
"False"	"High"	"IsMasterProtein"	"Q99337"	"Transposon Ty1-NL2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-NL2 PE=3 SV=1"	"0.000"	"408.309"	"26"	"37"	"224"	"2"	"1749"	"198.1"	"8.56"	"711.03"	"37"	"1"
"False"	"High"	"None"	"Q12193"	"Transposon Ty1-BR Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-BR PE=3 SV=1"	"0.000"	"406.727"	"26"	"38"	"239"	"0"	"1756"	"198.7"	"8.46"	"739.68"	"38"	"0"
"False"	"High"	"IsMasterProtein"	"P05030"	"Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMA1 PE=1 SV=2"	"0.000"	"406.474"	"40"	"32"	"433"	"32"	"918"	"99.6"	"5.11"	"1590.55"	"32"	"1"
"False"	"High"	"IsMasterProtein"	"Q00955"	"Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACC1 PE=1 SV=2"	"0.000"	"390.237"	"24"	"45"	"235"	"45"	"2233"	"250.2"	"6.28"	"785.08"	"45"	"1"
"False"	"High"	"None"	"Q03619"	"Transposon Ty1-ER2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-ER2 PE=3 SV=1"	"0.000"	"388.449"	"26"	"37"	"236"	"0"	"1755"	"198.4"	"8.54"	"725.39"	"37"	"0"
"False"	"High"	"None"	"Q12088"	"Transposon Ty1-LR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-LR1 PE=3 SV=1"	"0.000"	"388.449"	"26"	"37"	"236"	"0"	"1755"	"198.3"	"8.54"	"725.39"	"37"	"0"
"False"	"High"	"IsMasterProtein"	"P02994"	"Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1"	"0.000"	"385.534"	"66"	"31"	"638"	"31"	"458"	"50.0"	"9.04"	"1997.94"	"31"	"1"
"False"	"High"	"IsMasterProtein"	"P06105"	"Protein SCP160 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCP160 PE=1 SV=3"	"0.000"	"377.584"	"33"	"42"	"226"	"42"	"1222"	"134.7"	"5.85"	"680.87"	"42"	"1"
"False"	"High"	"IsMasterProtein"	"P08518"	"DNA-directed RNA polymerase II subunit RPB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB2 PE=1 SV=2"	"0.000"	"373.104"	"30"	"33"	"158"	"33"	"1224"	"138.7"	"6.52"	"514.76"	"33"	"1"
"False"	"High"	"IsMasterProtein"	"Q02455"	"Protein MLP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MLP1 PE=1 SV=2"	"0.000"	"364.332"	"27"	"48"	"151"	"48"	"1875"	"218.3"	"5.20"	"498.45"	"48"	"1"
"False"	"High"	"IsMasterProtein"	"P16521"	"Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEF3 PE=1 SV=4"	"0.000"	"363.430"	"31"	"29"	"346"	"29"	"1044"	"115.9"	"6.05"	"1023.22"	"29"	"1"
"False"	"High"	"IsMasterProtein"	"P33302"	"Pleiotropic ABC efflux transporter of multiple drugs OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDR5 PE=1 SV=1"	"0.000"	"361.567"	"25"	"30"	"203"	"27"	"1511"	"170.3"	"7.81"	"704.85"	"30"	"1"
"False"	"High"	"IsMasterProtein"	"P38631"	"1,3-beta-glucan synthase component FKS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FKS1 PE=1 SV=2"	"0.000"	"355.559"	"18"	"28"	"219"	"17"	"1876"	"214.7"	"7.23"	"754.67"	"28"	"1"
"False"	"High"	"IsMasterProtein"	"P09440"	"C-1-tetrahydrofolate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIS1 PE=1 SV=1"	"0.000"	"353.317"	"36"	"32"	"161"	"32"	"975"	"106.2"	"8.66"	"524.87"	"32"	"1"
"False"	"High"	"IsMasterProtein"	"P19097"	"Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2"	"0.000"	"327.918"	"20"	"35"	"132"	"35"	"1887"	"206.8"	"5.44"	"410.82"	"35"	"1"
"False"	"High"	"IsMasterProtein"	"P25491"	"Mitochondrial protein import protein MAS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDJ1 PE=1 SV=1"	"0.000"	"319.919"	"44"	"23"	"211"	"23"	"409"	"44.6"	"6.30"	"728.15"	"23"	"1"
"False"	"High"	"IsMasterProtein"	"P38934"	"Nuclear segregation protein BFR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BFR1 PE=1 SV=1"	"0.000"	"309.090"	"42"	"32"	"154"	"32"	"470"	"54.6"	"9.19"	"530.61"	"32"	"1"
"False"	"High"	"IsMasterProtein"	"P36775"	"Lon protease homolog, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PIM1 PE=1 SV=2"	"0.000"	"306.612"	"22"	"28"	"124"	"28"	"1133"	"127.0"	"5.59"	"410.32"	"28"	"1"
"False"	"High"	"IsMasterProtein"	"P22138"	"DNA-directed RNA polymerase I subunit RPA135 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPA135 PE=1 SV=1"	"0.000"	"302.242"	"31"	"24"	"169"	"24"	"1203"	"135.7"	"7.65"	"640.84"	"24"	"1"
"False"	"High"	"IsMasterProtein"	"P25694"	"Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC48 PE=1 SV=3"	"0.000"	"295.845"	"38"	"30"	"156"	"30"	"835"	"91.9"	"4.94"	"442.29"	"30"	"1"
"False"	"High"	"IsMasterProtein"	"Q04214"	"Transposon Ty1-MR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-MR1 PE=1 SV=2"	"0.000"	"290.012"	"20"	"30"	"159"	"2"	"1755"	"198.8"	"8.29"	"447.67"	"30"	"1"
"False"	"High"	"IsMasterProtein"	"P32597"	"Nuclear protein STH1/NPS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STH1 PE=1 SV=1"	"0.000"	"289.680"	"21"	"25"	"130"	"25"	"1359"	"156.6"	"6.71"	"422.84"	"25"	"1"
"False"	"High"	"IsMasterProtein"	"P35194"	"U3 small nucleolar RNA-associated protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UTP20 PE=1 SV=3"	"0.000"	"289.393"	"16"	"31"	"119"	"31"	"2493"	"287.4"	"7.03"	"423.37"	"31"	"1"
"False"	"High"	"IsMasterProteinRejected"	"Q12490"	"Transposon Ty1-BL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-BL PE=1 SV=1"	"0.000"	"286.898"	"20"	"30"	"156"	"0"	"1755"	"198.8"	"8.19"	"442.94"	"30"	"0"
"False"	"High"	"IsMasterProtein"	"P38144"	"ISWI chromatin-remodeling complex ATPase ISW1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ISW1 PE=1 SV=2"	"0.000"	"284.262"	"27"	"29"	"111"	"29"	"1129"	"131.0"	"6.64"	"387.42"	"29"	"1"
"False"	"High"	"IsMasterProtein"	"Q03280"	"E3 ubiquitin-protein ligase TOM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM1 PE=1 SV=1"	"0.000"	"283.018"	"12"	"35"	"110"	"35"	"3268"	"373.9"	"5.21"	"323.16"	"35"	"1"
"False"	"High"	"IsMasterProtein"	"P04050"	"DNA-directed RNA polymerase II subunit RPB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPO21 PE=1 SV=2"	"0.000"	"282.768"	"17"	"24"	"113"	"24"	"1733"	"191.5"	"5.63"	"370.56"	"24"	"1"
"False"	"High"	"IsMasterProtein"	"P22147"	"5'-3' exoribonuclease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=XRN1 PE=1 SV=1"	"0.000"	"279.940"	"22"	"34"	"143"	"34"	"1528"	"175.4"	"7.47"	"451.10"	"34"	"1"
"False"	"High"	"IsMasterProtein"	"P40457"	"Protein MLP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MLP2 PE=1 SV=1"	"0.000"	"275.838"	"29"	"40"	"105"	"40"	"1679"	"195.0"	"5.97"	"314.91"	"40"	"1"
"False"	"High"	"IsMasterProtein"	"P00549"	"Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2"	"0.000"	"275.750"	"53"	"20"	"296"	"19"	"500"	"54.5"	"7.68"	"948.72"	"20"	"1"
"False"	"High"	"IsMasterProtein"	"P00925"	"Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2"	"0.000"	"271.960"	"41"	"18"	"299"	"14"	"437"	"46.9"	"6.00"	"815.52"	"18"	"1"
"False"	"High"	"IsMasterProtein"	"P20967"	"2-oxoglutarate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KGD1 PE=1 SV=2"	"0.000"	"271.352"	"35"	"27"	"146"	"27"	"1014"	"114.3"	"7.21"	"469.06"	"27"	"1"
"False"	"High"	"IsMasterProtein"	"P33442"	"40S ribosomal protein S1-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS1A PE=1 SV=2"	"0.000"	"270.475"	"52"	"17"	"195"	"2"	"255"	"28.7"	"9.99"	"510.01"	"17"	"1"
"False"	"High"	"IsMasterProtein"	"P23248"	"40S ribosomal protein S1-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS1B PE=1 SV=3"	"0.000"	"269.269"	"52"	"17"	"199"	"2"	"255"	"28.8"	"10.02"	"520.27"	"17"	"1"
"False"	"High"	"IsMasterProteinRejected"	"Q12112"	"Transposon Ty1-NL1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-NL1 PE=3 SV=1"	"0.000"	"266.075"	"17"	"27"	"142"	"0"	"1755"	"198.9"	"8.53"	"417.80"	"27"	"0"
"False"	"High"	"IsMasterProtein"	"P14126"	"60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL3 PE=1 SV=4"	"0.000"	"263.693"	"47"	"19"	"215"	"19"	"387"	"43.7"	"10.29"	"716.08"	"19"	"1"
"False"	"High"	"IsMasterProtein"	"P04051"	"DNA-directed RNA polymerase III subunit RPC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPO31 PE=1 SV=1"	"0.000"	"263.290"	"29"	"34"	"113"	"34"	"1460"	"162.2"	"8.24"	"359.38"	"34"	"1"
"False"	"High"	"IsMasterProtein"	"P39986"	"Manganese-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPF1 PE=1 SV=1"	"0.000"	"254.990"	"26"	"22"	"118"	"22"	"1215"	"135.2"	"6.60"	"478.81"	"22"	"1"
"False"	"High"	"IsMasterProtein"	"Q08965"	"Ribosome biogenesis protein BMS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BMS1 PE=1 SV=1"	"0.000"	"251.366"	"29"	"31"	"136"	"31"	"1183"	"135.5"	"6.81"	"380.57"	"31"	"1"
"False"	"High"	"None"	"O13527"	"Truncated transposon Ty1-A Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-A PE=3 SV=3"	"0.000"	"249.694"	"26"	"25"	"119"	"8"	"1196"	"136.6"	"8.62"	"367.53"	"25"	"1"
"False"	"High"	"IsMasterProtein"	"P19414"	"Aconitate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACO1 PE=1 SV=2"	"0.000"	"249.355"	"29"	"19"	"137"	"19"	"778"	"85.3"	"8.07"	"495.76"	"19"	"1"
"False"	"High"	"IsMasterProtein"	"P53914"	"RNA cytidine acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRE33 PE=1 SV=1"	"0.000"	"248.411"	"26"	"24"	"182"	"24"	"1056"	"119.3"	"7.80"	"591.07"	"24"	"1"
"False"	"High"	"IsMasterProtein"	"P10591"	"Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA1 PE=1 SV=4"	"0.000"	"248.064"	"36"	"23"	"215"	"9"	"642"	"69.6"	"5.11"	"690.80"	"23"	"1"
"False"	"High"	"IsMasterProtein"	"Q04217"	"Probable ATP-dependent RNA helicase DHR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ECM16 PE=1 SV=1"	"0.000"	"247.849"	"28"	"34"	"116"	"34"	"1267"	"144.9"	"6.34"	"323.28"	"34"	"1"
"False"	"High"	"IsMasterProtein"	"P38764"	"26S proteasome regulatory subunit RPN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN1 PE=1 SV=3"	"0.000"	"244.473"	"26"	"22"	"89"	"22"	"993"	"109.4"	"4.63"	"331.84"	"22"	"1"
"False"	"High"	"IsMasterProtein"	"P04786"	"DNA topoisomerase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOP1 PE=1 SV=2"	"0.000"	"244.453"	"41"	"30"	"121"	"30"	"769"	"89.9"	"8.73"	"370.84"	"30"	"1"
"False"	"High"	"IsMasterProtein"	"P10592"	"Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA2 PE=1 SV=3"	"0.000"	"243.221"	"43"	"22"	"216"	"7"	"639"	"69.4"	"5.06"	"712.10"	"22"	"1"
"False"	"High"	"IsMasterProtein"	"P32324"	"Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1"	"0.000"	"240.574"	"38"	"23"	"232"	"23"	"842"	"93.2"	"6.32"	"684.75"	"23"	"1"
"False"	"High"	"IsMasterProtein"	"P06786"	"DNA topoisomerase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOP2 PE=1 SV=2"	"0.000"	"240.551"	"19"	"26"	"132"	"26"	"1428"	"164.1"	"7.03"	"381.00"	"26"	"1"
"False"	"High"	"IsMasterProtein"	"P32568"	"Protein SNQ2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNQ2 PE=1 SV=2"	"0.000"	"237.593"	"22"	"22"	"96"	"21"	"1501"	"168.7"	"7.62"	"359.75"	"22"	"1"
"False"	"High"	"IsMasterProtein"	"P08566"	"Pentafunctional AROM polypeptide OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARO1 PE=1 SV=1"	"0.000"	"237.282"	"20"	"23"	"101"	"23"	"1588"	"174.6"	"6.28"	"362.20"	"23"	"1"
"False"	"High"	"IsMasterProtein"	"P27476"	"Nuclear localization sequence-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NSR1 PE=1 SV=1"	"0.000"	"233.820"	"42"	"19"	"204"	"19"	"414"	"44.5"	"4.93"	"650.12"	"19"	"1"
"False"	"High"	"IsMasterProtein"	"Q00402"	"Nuclear migration protein NUM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUM1 PE=1 SV=2"	"0.000"	"233.737"	"25"	"20"	"75"	"20"	"2748"	"312.8"	"5.40"	"271.98"	"20"	"1"
"False"	"High"	"IsMasterProtein"	"Q99207"	"Nucleolar complex protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP14 PE=1 SV=1"	"0.000"	"230.983"	"29"	"28"	"117"	"28"	"810"	"94.2"	"7.37"	"393.48"	"28"	"1"
"False"	"High"	"IsMasterProtein"	"P39522"	"Dihydroxy-acid dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILV3 PE=1 SV=2"	"0.000"	"230.581"	"40"	"18"	"147"	"18"	"585"	"62.8"	"7.83"	"497.23"	"18"	"1"
"False"	"High"	"IsMasterProtein"	"P15108"	"ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSC82 PE=1 SV=4"	"0.000"	"228.052"	"30"	"27"	"137"	"5"	"705"	"80.9"	"4.83"	"386.47"	"27"	"1"
"False"	"High"	"IsMasterProtein"	"P0CS90"	"Heat shock protein SSC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSC1 PE=1 SV=1"	"0.000"	"226.337"	"36"	"21"	"196"	"21"	"654"	"70.6"	"5.59"	"690.57"	"21"	"1"
