"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Protein Groups"
"False"	"High"	"None"	"Q04670"	"Transposon Ty1-MR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-MR2 PE=3 SV=2"	"0.000"	"523.224"	"32"	"45"	"471"	"0"	"1755"	"198.4"	"8.63"	"1551.99"	"45"	"0"
"False"	"High"	"IsMasterProteinRejected"	"Q12141"	"Transposon Ty1-GR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-GR1 PE=3 SV=1"	"0.000"	"522.932"	"31"	"44"	"499"	"0"	"1755"	"198.5"	"8.18"	"1609.97"	"44"	"0"
"False"	"High"	"None"	"Q12316"	"Transposon Ty1-GR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-GR3 PE=3 SV=3"	"0.000"	"515.367"	"30"	"43"	"470"	"0"	"1755"	"198.4"	"8.46"	"1545.47"	"43"	"0"
"False"	"High"	"IsMasterProtein"	"P0C2I6"	"Transposon Ty1-LR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-LR3 PE=3 SV=1"	"0.000"	"513.250"	"30"	"44"	"484"	"2"	"1755"	"198.3"	"7.94"	"1599.63"	"44"	"1"
"False"	"High"	"None"	"O13535"	"Transposon Ty1-H Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-H PE=3 SV=1"	"0.000"	"508.883"	"29"	"42"	"463"	"0"	"1793"	"202.7"	"8.32"	"1519.99"	"42"	"0"
"False"	"High"	"None"	"Q03855"	"Transposon Ty1-DR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR1 PE=3 SV=2"	"0.000"	"500.266"	"29"	"44"	"432"	"1"	"1755"	"198.5"	"8.41"	"1395.15"	"44"	"1"
"False"	"High"	"None"	"Q12193"	"Transposon Ty1-BR Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-BR PE=3 SV=1"	"0.000"	"490.598"	"27"	"40"	"446"	"0"	"1756"	"198.7"	"8.46"	"1485.82"	"40"	"0"
"False"	"High"	"IsMasterProteinRejected"	"P0C2J1"	"Transposon Ty1-PR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-PR3 PE=1 SV=1"	"0.000"	"490.497"	"30"	"43"	"474"	"0"	"1755"	"198.3"	"7.93"	"1549.27"	"43"	"0"
"False"	"High"	"None"	"Q03619"	"Transposon Ty1-ER2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-ER2 PE=3 SV=1"	"0.000"	"478.929"	"28"	"40"	"458"	"0"	"1755"	"198.4"	"8.54"	"1500.59"	"40"	"0"
"False"	"High"	"None"	"Q12088"	"Transposon Ty1-LR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-LR1 PE=3 SV=1"	"0.000"	"478.929"	"28"	"40"	"458"	"0"	"1755"	"198.3"	"8.54"	"1500.59"	"40"	"0"
"False"	"High"	"IsMasterProtein"	"Q99337"	"Transposon Ty1-NL2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-NL2 PE=3 SV=1"	"0.000"	"475.991"	"26"	"39"	"293"	"1"	"1749"	"198.1"	"8.56"	"989.27"	"39"	"1"
"False"	"High"	"IsMasterProtein"	"P32568"	"Protein SNQ2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNQ2 PE=1 SV=2"	"0.000"	"420.560"	"34"	"35"	"256"	"35"	"1501"	"168.7"	"7.62"	"908.36"	"35"	"1"
"False"	"High"	"IsMasterProtein"	"Q03280"	"E3 ubiquitin-protein ligase TOM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM1 PE=1 SV=1"	"0.000"	"419.186"	"15"	"43"	"189"	"43"	"3268"	"373.9"	"5.21"	"610.42"	"43"	"1"
"False"	"High"	"IsMasterProtein"	"P09440"	"C-1-tetrahydrofolate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIS1 PE=1 SV=1"	"0.000"	"418.390"	"44"	"35"	"217"	"35"	"975"	"106.2"	"8.66"	"766.13"	"35"	"1"
"False"	"High"	"IsMasterProtein"	"P22138"	"DNA-directed RNA polymerase I subunit RPA135 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPA135 PE=1 SV=1"	"0.000"	"417.901"	"45"	"34"	"300"	"34"	"1203"	"135.7"	"7.65"	"1028.93"	"34"	"1"
"False"	"High"	"IsMasterProtein"	"P32324"	"Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1"	"0.000"	"405.141"	"52"	"35"	"450"	"35"	"842"	"93.2"	"6.32"	"1433.50"	"35"	"1"
"False"	"High"	"IsMasterProtein"	"P06105"	"Protein SCP160 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCP160 PE=1 SV=3"	"0.000"	"404.138"	"39"	"47"	"265"	"47"	"1222"	"134.7"	"5.85"	"815.70"	"47"	"1"
"False"	"High"	"IsMasterProtein"	"P02994"	"Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1"	"0.000"	"400.355"	"67"	"26"	"2066"	"26"	"458"	"50.0"	"9.04"	"5901.05"	"26"	"1"
"False"	"High"	"IsMasterProtein"	"P20967"	"2-oxoglutarate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KGD1 PE=1 SV=2"	"0.000"	"395.280"	"42"	"34"	"303"	"34"	"1014"	"114.3"	"7.21"	"1078.61"	"34"	"1"
"False"	"High"	"IsMasterProtein"	"P07149"	"Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS1 PE=1 SV=2"	"0.000"	"391.703"	"28"	"37"	"177"	"37"	"2051"	"228.5"	"5.92"	"673.95"	"37"	"1"
"False"	"High"	"IsMasterProtein"	"Q00402"	"Nuclear migration protein NUM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUM1 PE=1 SV=2"	"0.000"	"387.562"	"33"	"33"	"125"	"33"	"2748"	"312.8"	"5.40"	"509.28"	"33"	"1"
"False"	"High"	"IsMasterProtein"	"P38811"	"Transcription-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRA1 PE=1 SV=1"	"0.000"	"385.721"	"16"	"46"	"183"	"46"	"3744"	"432.9"	"6.55"	"596.56"	"46"	"1"
"False"	"High"	"IsMasterProtein"	"Q12019"	"Midasin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDN1 PE=1 SV=1"	"0.000"	"384.988"	"11"	"42"	"150"	"42"	"4910"	"559.0"	"5.01"	"543.39"	"42"	"1"
"False"	"High"	"IsMasterProtein"	"P14126"	"60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL3 PE=1 SV=4"	"0.000"	"384.747"	"56"	"22"	"768"	"22"	"387"	"43.7"	"10.29"	"2212.71"	"22"	"1"
"False"	"High"	"IsMasterProtein"	"P22147"	"5'-3' exoribonuclease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=XRN1 PE=1 SV=1"	"0.000"	"381.199"	"29"	"39"	"175"	"39"	"1528"	"175.4"	"7.47"	"579.42"	"39"	"1"
"False"	"High"	"IsMasterProtein"	"P08566"	"Pentafunctional AROM polypeptide OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARO1 PE=1 SV=1"	"0.000"	"369.821"	"31"	"35"	"168"	"35"	"1588"	"174.6"	"6.28"	"628.24"	"35"	"1"
"False"	"High"	"IsMasterProtein"	"P00549"	"Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2"	"0.000"	"358.022"	"59"	"22"	"588"	"21"	"500"	"54.5"	"7.68"	"1895.93"	"22"	"1"
"False"	"High"	"IsMasterProtein"	"P33442"	"40S ribosomal protein S1-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS1A PE=1 SV=2"	"0.000"	"357.579"	"55"	"20"	"786"	"2"	"255"	"28.7"	"9.99"	"2146.46"	"20"	"1"
"False"	"High"	"IsMasterProtein"	"Q12490"	"Transposon Ty1-BL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-BL PE=1 SV=1"	"0.000"	"355.393"	"24"	"34"	"202"	"1"	"1755"	"198.8"	"8.19"	"629.89"	"34"	"1"
"False"	"High"	"IsMasterProteinRejected"	"Q04214"	"Transposon Ty1-MR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-MR1 PE=1 SV=2"	"0.000"	"354.576"	"24"	"34"	"204"	"0"	"1755"	"198.8"	"8.29"	"633.74"	"34"	"0"
"False"	"High"	"IsMasterProtein"	"P23248"	"40S ribosomal protein S1-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS1B PE=1 SV=3"	"0.000"	"354.348"	"55"	"20"	"788"	"2"	"255"	"28.8"	"10.02"	"2141.98"	"20"	"1"
"False"	"High"	"IsMasterProtein"	"P25694"	"Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC48 PE=1 SV=3"	"0.000"	"351.573"	"36"	"30"	"210"	"30"	"835"	"91.9"	"4.94"	"677.02"	"30"	"1"
"False"	"High"	"IsMasterProtein"	"P25491"	"Mitochondrial protein import protein MAS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDJ1 PE=1 SV=1"	"0.000"	"350.414"	"47"	"23"	"299"	"23"	"409"	"44.6"	"6.30"	"1170.29"	"23"	"1"
"False"	"High"	"IsMasterProtein"	"Q02785"	"ATP-dependent permease PDR12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDR12 PE=1 SV=1"	"0.000"	"346.926"	"22"	"25"	"187"	"25"	"1511"	"171.0"	"6.84"	"681.25"	"25"	"1"
"False"	"High"	"IsMasterProtein"	"P15108"	"ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSC82 PE=1 SV=4"	"0.000"	"345.512"	"38"	"32"	"206"	"6"	"705"	"80.9"	"4.83"	"728.87"	"32"	"1"
"False"	"High"	"IsMasterProtein"	"P00925"	"Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2"	"0.000"	"343.632"	"51"	"17"	"788"	"10"	"437"	"46.9"	"6.00"	"2116.21"	"17"	"1"
"False"	"High"	"IsMasterProtein"	"Q12680"	"Glutamate synthase [NADH] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLT1 PE=1 SV=2"	"0.000"	"342.490"	"26"	"38"	"156"	"38"	"2145"	"238.0"	"6.58"	"498.68"	"38"	"1"
"False"	"High"	"IsMasterProtein"	"P38144"	"ISWI chromatin-remodeling complex ATPase ISW1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ISW1 PE=1 SV=2"	"0.000"	"335.909"	"33"	"33"	"147"	"33"	"1129"	"131.0"	"6.64"	"528.78"	"33"	"1"
"False"	"High"	"IsMasterProtein"	"P39986"	"Manganese-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPF1 PE=1 SV=1"	"0.000"	"332.950"	"32"	"27"	"191"	"27"	"1215"	"135.2"	"6.60"	"714.58"	"27"	"1"
"False"	"High"	"IsMasterProtein"	"P06786"	"DNA topoisomerase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOP2 PE=1 SV=2"	"0.000"	"332.650"	"21"	"26"	"205"	"26"	"1428"	"164.1"	"7.03"	"662.38"	"26"	"1"
"False"	"High"	"IsMasterProtein"	"P39522"	"Dihydroxy-acid dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILV3 PE=1 SV=2"	"0.000"	"331.245"	"59"	"23"	"285"	"23"	"585"	"62.8"	"7.83"	"1011.77"	"23"	"1"
"False"	"High"	"IsMasterProtein"	"P38934"	"Nuclear segregation protein BFR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BFR1 PE=1 SV=1"	"0.000"	"328.069"	"53"	"31"	"143"	"31"	"470"	"54.6"	"9.19"	"532.91"	"31"	"1"
"False"	"High"	"IsMasterProteinRejected"	"Q12112"	"Transposon Ty1-NL1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-NL1 PE=3 SV=1"	"0.000"	"327.590"	"21"	"32"	"162"	"0"	"1755"	"198.9"	"8.53"	"488.44"	"32"	"0"
"False"	"High"	"IsMasterProtein"	"P09624"	"Dihydrolipoyl dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LPD1 PE=1 SV=1"	"0.000"	"326.045"	"50"	"19"	"238"	"19"	"499"	"54.0"	"8.03"	"773.90"	"19"	"1"
"False"	"High"	"IsMasterProtein"	"P02829"	"ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP82 PE=1 SV=1"	"0.000"	"324.506"	"38"	"32"	"184"	"6"	"709"	"81.4"	"4.91"	"638.34"	"32"	"1"
"False"	"High"	"IsMasterProtein"	"P19097"	"Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2"	"0.000"	"322.386"	"21"	"29"	"154"	"29"	"1887"	"206.8"	"5.44"	"505.97"	"29"	"1"
"False"	"High"	"IsMasterProtein"	"P38993"	"Iron transport multicopper oxidase FET3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FET3 PE=1 SV=2"	"0.000"	"320.185"	"19"	"14"	"154"	"14"	"636"	"72.3"	"4.78"	"631.36"	"14"	"1"
"False"	"High"	"IsMasterProtein"	"P04050"	"DNA-directed RNA polymerase II subunit RPB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPO21 PE=1 SV=2"	"0.000"	"318.248"	"24"	"31"	"125"	"31"	"1733"	"191.5"	"5.63"	"403.82"	"31"	"1"
"False"	"High"	"IsMasterProtein"	"P0CS90"	"Heat shock protein SSC1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSC1 PE=1 SV=1"	"0.000"	"311.782"	"40"	"24"	"445"	"24"	"654"	"70.6"	"5.59"	"1601.62"	"24"	"1"
"False"	"High"	"IsMasterProtein"	"P17255"	"V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA1 PE=1 SV=3"	"0.000"	"311.491"	"37"	"31"	"381"	"31"	"1071"	"118.6"	"6.16"	"1112.47"	"31"	"1"
"False"	"High"	"IsMasterProtein"	"Q05022"	"rRNA biogenesis protein RRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RRP5 PE=1 SV=1"	"0.000"	"310.341"	"25"	"38"	"234"	"38"	"1729"	"193.0"	"6.19"	"694.68"	"38"	"1"
"False"	"High"	"IsMasterProtein"	"Q12460"	"Nucleolar protein 56 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP56 PE=1 SV=1"	"0.000"	"309.653"	"48"	"25"	"342"	"24"	"504"	"56.8"	"8.90"	"1017.60"	"25"	"1"
"False"	"High"	"IsMasterProtein"	"P07259"	"Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5"	"0.000"	"301.585"	"20"	"34"	"164"	"34"	"2214"	"244.9"	"5.83"	"512.17"	"34"	"1"
"False"	"High"	"IsMasterProtein"	"P33892"	"eIF-2-alpha kinase activator GCN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCN1 PE=1 SV=1"	"0.000"	"298.650"	"14"	"27"	"144"	"27"	"2672"	"296.5"	"5.27"	"464.12"	"27"	"1"
"False"	"High"	"IsMasterProtein"	"P39676"	"Flavohemoprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YHB1 PE=1 SV=2"	"0.000"	"298.446"	"57"	"18"	"194"	"18"	"399"	"44.6"	"6.28"	"763.42"	"18"	"1"
"False"	"High"	"IsMasterProtein"	"P07245"	"C-1-tetrahydrofolate synthase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE3 PE=1 SV=1"	"0.000"	"297.418"	"37"	"22"	"112"	"22"	"946"	"102.1"	"6.84"	"400.44"	"22"	"1"
"False"	"High"	"IsMasterProtein"	"P53914"	"RNA cytidine acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRE33 PE=1 SV=1"	"0.000"	"293.302"	"33"	"32"	"170"	"32"	"1056"	"119.3"	"7.80"	"587.90"	"32"	"1"
"False"	"High"	"IsMasterProtein"	"P14540"	"Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FBA1 PE=1 SV=3"	"0.000"	"290.104"	"60"	"19"	"304"	"19"	"359"	"39.6"	"5.78"	"998.70"	"19"	"1"
"False"	"High"	"IsMasterProtein"	"Q02455"	"Protein MLP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MLP1 PE=1 SV=2"	"0.000"	"289.805"	"23"	"38"	"117"	"38"	"1875"	"218.3"	"5.20"	"383.58"	"38"	"1"
"False"	"High"	"None"	"O13527"	"Truncated transposon Ty1-A Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-A PE=3 SV=3"	"0.000"	"285.539"	"28"	"26"	"139"	"0"	"1196"	"136.6"	"8.62"	"446.79"	"26"	"1"
"False"	"High"	"IsMasterProtein"	"P36775"	"Lon protease homolog, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PIM1 PE=1 SV=2"	"0.000"	"285.425"	"24"	"24"	"125"	"24"	"1133"	"127.0"	"5.59"	"438.98"	"24"	"1"
