PROT1	PROT2	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME
P00044	P07143	1	0	Structure	3cx5	1	W	0	100.0	99.1	2	109	-	O	0	100.0	80.3	62	309	-	P00044-P07143-EXP-3cx5.pdb1-W-0-O-0.pdb
P00045	P00045	1	0	Structure	1yea	1	A	0	100.0	99.1	2	113	-	A	1	100.0	99.1	2	113	-	P00045-P00045-EXP-1yea.pdb1-A-0-A-1.pdb
P00045	P07143	1	0	Structure	3cxh	1	W	0	100.0	99.1	2	113	-	O	0	100.0	79.6	62	307	-	P00045-P07143-EXP-3cxh.pdb1-W-0-O-0.pdb
P00127	P07143	1	0	Structure	3cx5	1	F	0	100.0	50.3	74	147	-	D	0	100.0	80.3	62	309	-	P00127-P07143-EXP-3cx5.pdb1-F-0-D-0.pdb
P00127	P08525	1	0	Structure	3cx5	1	F	0	100.0	50.3	74	147	-	H	0	100.0	98.9	2	94	-	P00127-P08525-EXP-3cx5.pdb1-F-0-H-0.pdb
P00128	P00163	1	0	Structure	3cx5	1	R	0	100.0	99.2	2	127	-	N	0	100.0	100.0	1	385	-	P00128-P00163-EXP-3cx5.pdb1-R-0-N-0.pdb
P00128	P07143	1	0	Structure	3cx5	1	R	0	100.0	99.2	2	127	-	O	0	100.0	80.3	62	309	-	P00128-P07143-EXP-3cx5.pdb1-R-0-O-0.pdb
P00128	P07256	1	0	Structure	3cx5	1	R	0	100.0	99.2	2	127	-	A	0	99.8	94.3	27	457	-	P00128-P07256-EXP-3cx5.pdb1-R-0-A-0.pdb
P00128	P07257	1	0	Structure	3cx5	1	G	0	100.0	99.2	2	127	-	M	0	100.0	95.7	17	368	-	P00128-P07257-EXP-3cx5.pdb1-G-0-M-0.pdb
P00128	P08525	1	0	Structure	3cx5	1	G	0	100.0	99.2	2	127	-	H	0	100.0	98.9	2	94	-	P00128-P08525-EXP-3cx5.pdb1-G-0-H-0.pdb
P00128	P37299	1	0	Structure	6giq	1	R	0	100.0	99.2	2	127	-	V	0	100.0	66.2	11	61	-	P00128-P37299-EXP-6giq.pdb1-R-0-V-0.pdb
P00163	P00163	1	0	Structure	3cx5	1	N	0	100.0	100.0	1	385	-	C	0	100.0	100.0	1	385	-	P00163-P00163-EXP-3cx5.pdb1-N-0-C-0.pdb
P00163	P07143	1	0	Structure	3cx5	1	N	0	100.0	100.0	1	385	-	O	0	100.0	80.3	62	309	-	P00163-P07143-EXP-3cx5.pdb1-N-0-O-0.pdb
P00163	P07256	1	0	Structure	3cx5	1	C	0	100.0	100.0	1	385	-	A	0	99.8	94.3	27	457	-	P00163-P07256-EXP-3cx5.pdb1-C-0-A-0.pdb
P00163	P08067	1	0	Structure	3cx5	1	C	0	100.0	100.0	1	385	-	E	0	100.0	86.0	31	215	-	P00163-P08067-EXP-3cx5.pdb1-C-0-E-0.pdb
P00163	P08525	1	0	Structure	3cx5	1	N	0	100.0	100.0	1	385	-	H	0	100.0	98.9	2	94	-	P00163-P08525-EXP-3cx5.pdb1-N-0-H-0.pdb
P00163	P37299	1	0	Structure	6giq	1	N	0	100.0	100.0	1	385	-	V	0	100.0	66.2	11	61	-	P00163-P37299-EXP-6giq.pdb1-N-0-V-0.pdb
P00175	P00175	1	0	Structure	1kbi	1	A	0	98.6	86.5	81	591	-	A	1	98.6	86.5	81	591	-	P00175-P00175-EXP-1kbi.pdb1-A-0-A-1.pdb
P00330	P00330	1	0	Structure	4w6z	1	B	0	100.0	99.7	2	348	-	A	0	100.0	99.7	2	348	-	P00330-P00330-EXP-4w6z.pdb1-B-0-A-0.pdb
P00358	P00360	1	0	Model	3pym	1	A	1	96.4	100.0	1	332	-	A	0	88.3	100.0	1	332	-	P00358-P00360-MDL-3pym.pdb1-A-1-A-0.pdb
P00359	P00359	1	0	Structure	3pym	1	A	0	100.0	100.0	1	332	-	A	1	100.0	100.0	1	332	-	P00359-P00359-EXP-3pym.pdb1-A-0-A-1.pdb
P00401	P00410	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	b	0	100.0	93.6	16	250	-	P00401-P00410-EXP-6giq.pdb1-a-0-b-0.pdb
P00401	P00420	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	c	0	100.0	97.4	8	269	-	P00401-P00420-EXP-6giq.pdb1-a-0-c-0.pdb
P00401	P00424	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	e	0	100.0	62.7	31	126	-	P00401-P00424-EXP-6giq.pdb1-a-0-e-0.pdb
P00401	P00427	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	f	0	100.0	66.9	47	145	-	P00401-P00427-EXP-6giq.pdb1-a-0-f-0.pdb
P00401	P04037	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	d	0	100.0	31.6	59	107	-	P00401-P04037-EXP-6giq.pdb1-a-0-d-0.pdb
P00401	P04039	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	h	0	100.0	39.7	44	74	-	P00401-P04039-EXP-6giq.pdb1-a-0-h-0.pdb
P00401	P07255	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	i	0	100.0	83.1	7	55	-	P00401-P07255-EXP-6giq.pdb1-a-0-i-0.pdb
P00401	P10174	1	0	Structure	6giq	1	a	0	100.0	97.8	13	534	-	g	0	100.0	48.3	26	54	-	P00401-P10174-EXP-6giq.pdb1-a-0-g-0.pdb
P00401	P32799	1	0	Structure	6hu9	1	m	0	100.0	100.0	1	534	-	w	0	100.0	87.6	13	125	-	P00401-P32799-EXP-6hu9.pdb1-m-0-w-0.pdb
P00401	Q01519	1	0	Structure	6hu9	1	a	0	100.0	100.0	1	534	-	j	0	100.0	92.8	7	83	-	P00401-Q01519-EXP-6hu9.pdb1-a-0-j-0.pdb
P00401	Q2V2P9	1	0	Structure	6hu9	1	a	0	100.0	100.0	1	534	-	l	0	100.0	68.2	22	66	-	P00401-Q2V2P9-EXP-6hu9.pdb1-a-0-l-0.pdb
P00410	P00424	1	0	Structure	6giq	1	b	0	100.0	93.6	16	250	-	e	0	100.0	62.7	31	126	-	P00410-P00424-EXP-6giq.pdb1-b-0-e-0.pdb
P00410	P00427	1	0	Structure	6giq	1	b	0	100.0	93.6	16	250	-	f	0	100.0	66.9	47	145	-	P00410-P00427-EXP-6giq.pdb1-b-0-f-0.pdb
P00410	P04037	1	0	Structure	6hu9	1	b	0	100.0	94.0	16	251	-	d	0	100.0	78.1	29	149	-	P00410-P04037-EXP-6hu9.pdb1-b-0-d-0.pdb
P00410	P07255	1	0	Structure	6giq	1	b	0	100.0	93.6	16	250	-	i	0	100.0	83.1	7	55	-	P00410-P07255-EXP-6giq.pdb1-b-0-i-0.pdb
P00410	Q01519	1	0	Structure	6giq	1	b	0	100.0	93.6	16	250	-	j	0	100.0	68.7	24	80	-	P00410-Q01519-EXP-6giq.pdb1-b-0-j-0.pdb
P00410	Q2V2P9	1	0	Structure	6hu9	1	b	0	100.0	94.0	16	251	-	l	0	100.0	68.2	22	66	-	P00410-Q2V2P9-EXP-6hu9.pdb1-b-0-l-0.pdb
P00420	P04037	1	0	Structure	6giq	1	c	0	100.0	97.4	8	269	-	d	0	100.0	31.6	59	107	-	P00420-P04037-EXP-6giq.pdb1-c-0-d-0.pdb
P00420	P10174	1	0	Structure	6giq	1	c	0	100.0	97.4	8	269	-	g	0	100.0	48.3	26	54	-	P00420-P10174-EXP-6giq.pdb1-c-0-g-0.pdb
P00420	P32799	1	0	Structure	6giq	1	c	0	100.0	97.4	8	269	-	k	0	100.0	14.0	57	74	-	P00420-P32799-EXP-6giq.pdb1-c-0-k-0.pdb
P00420	Q01519	1	0	Structure	6giq	1	c	0	100.0	97.4	8	269	-	j	0	100.0	68.7	24	80	-	P00420-Q01519-EXP-6giq.pdb1-c-0-j-0.pdb
P00424	P00427	1	0	Structure	6giq	1	e	0	100.0	62.7	31	126	-	f	0	100.0	66.9	47	145	-	P00424-P00427-EXP-6giq.pdb1-e-0-f-0.pdb
P00424	P07255	1	0	Structure	6hu9	1	q	0	100.0	86.9	21	153	-	u	0	100.0	93.2	2	56	-	P00424-P07255-EXP-6hu9.pdb1-q-0-u-0.pdb
P00424	P07256	1	0	Structure	6giq	1	e	0	100.0	62.7	31	126	-	A	0	100.0	94.3	27	457	-	P00424-P07256-EXP-6giq.pdb1-e-0-A-0.pdb
P00424	Q2V2P9	1	0	Structure	6hu9	1	e	0	100.0	86.9	21	153	-	l	0	100.0	68.2	22	66	-	P00424-Q2V2P9-EXP-6hu9.pdb1-e-0-l-0.pdb
P00427	P04037	1	0	Structure	6hu9	1	f	0	100.0	68.9	45	146	-	d	0	100.0	78.1	29	149	-	P00427-P04037-EXP-6hu9.pdb1-f-0-d-0.pdb
P00427	P07255	1	0	Structure	6giq	1	f	0	100.0	66.9	47	145	-	i	0	100.0	83.1	7	55	-	P00427-P07255-EXP-6giq.pdb1-f-0-i-0.pdb
P00427	Q2V2P9	1	0	Structure	6hu9	1	r	0	100.0	68.9	45	146	-	x	0	100.0	68.2	22	66	-	P00427-Q2V2P9-EXP-6hu9.pdb1-r-0-x-0.pdb
P00431	P00431	1	0	Structure	5cic	1	C	0	99.0	81.4	68	361	-	A	0	99.0	81.4	68	361	-	P00431-P00431-EXP-5cic.pdb1-C-0-A-0.pdb
P00445	P00445	1	0	Structure	1f1g	2	D	0	100.0	99.4	2	154	-	C	0	100.0	99.4	2	154	-	P00445-P00445-EXP-1f1g.pdb2-D-0-C-0.pdb
P00445	P40202	1	0	Structure	1jk9	3	C	0	99.3	99.4	2	154	-	B	0	100.0	97.6	3	245	-	P00445-P40202-EXP-1jk9.pdb3-C-0-B-0.pdb
P00447	P00447	1	0	Structure	4f6e	1	C	0	99.0	88.8	27	233	-	A	0	99.0	88.8	27	233	-	P00447-P00447-EXP-4f6e.pdb1-C-0-A-0.pdb
P00546	P06101	1	0	Dom_dom_model	5fwm	-	K	-	38.6	85.9	8	295	Pkinase	E	-	20.3	21.7	3	112	CDC37_N	P00546-P06101-MDD-Pkinase-CDC37_N-5fwm-K-6-295-E-2-164.pdb
P00546	P13365	1	0	Dom_dom_model	1ol1	-	A	-	54.7	85.9	8	295	Pkinase	B	-	19.2	20.3	84	205	Cyclin_N	P00546-P13365-MDD-Pkinase-Cyclin_N-1ol1-A-4-286-B-181-307.pdb
P00546	P20437	1	0	Dom_dom_model	2uue	-	C	-	54.7	85.9	8	295	Pkinase	D	-	19.7	23.1	41	192	Cyclin_N	P00546-P20437-MDD-Pkinase-Cyclin_N-2uue-C-4-286-D-181-307.pdb
P00546	P20438	1	0	Dom_dom_model	2uue	-	C	-	54.7	85.9	8	295	Pkinase	D	-	21.1	23.1	43	194	Cyclin_N	P00546-P20438-MDD-Pkinase-Cyclin_N-2uue-C-4-286-D-181-307.pdb
P00546	P20486	1	0	Model	4y72	1	A	0	59.7	99.0	3	297	-	C	0	53.2	51.3	28	104	-	P00546-P20486-MDL-4y72.pdb1-A-0-C-0.pdb
P00546	P24870	1	0	Model	3qhw	2	C	0	62.7	99.0	3	297	-	D	0	31.3	58.1	165	412	-	P00546-P24870-MDL-3qhw.pdb2-C-0-D-0.pdb
P00546	P24871	1	0	Model	4cfv	2	A	0	62.7	99.0	3	297	-	B	0	33.3	53.3	204	448	-	P00546-P24871-MDL-4cfv.pdb2-A-0-B-0.pdb
P00546	P30283	1	0	Dom_dom_model	2uue	-	A	-	54.7	85.9	8	295	Pkinase	B	-	38.8	29.0	165	293	Cyclin_N	P00546-P30283-MDD-Pkinase-Cyclin_N-2uue-A-4-286-B-181-307.pdb
P00546	P32943	1	0	Model	4bco	1	A	0	62.8	98.3	5	297	-	B	0	32.4	66.1	117	367	-	P00546-P32943-MDL-4bco.pdb1-A-0-B-0.pdb
P00546	P40038	1	0	Dom_dom_model	4krd	-	A	-	47.5	85.9	8	295	Pkinase	B	-	18.2	26.2	215	384	Cyclin	P00546-P40038-MDD-Pkinase-Cyclin-4krd-A-7-297-B-259-409.pdb
P00546	P40186	1	0	Dom_dom_model	4krd	-	A	-	47.5	85.9	8	295	Pkinase	B	-	26.1	38.6	142	260	Cyclin	P00546-P40186-MDD-Pkinase-Cyclin-4krd-A-7-297-B-259-409.pdb
P00546	P43568	1	0	Dom_dom_model	6i2y	-	A	-	23.1	85.6	9	295	Pkinase	B	-	13.5	61.4	24	363	Pkinase	P00546-P43568-MDD-Pkinase-Pkinase-6i2y-A-36-294-B-36-294.pdb
P00549	P00549	1	0	Structure	1a3w	1	A	0	98.6	99.8	2	500	-	A	1	98.6	99.8	2	500	-	P00549-P00549-EXP-1a3w.pdb1-A-0-A-1.pdb
P00572	P00572	1	0	Structure	3tmk	1	B	0	100.0	100.0	1	216	-	A	0	100.0	100.0	1	216	-	P00572-P00572-EXP-3tmk.pdb1-B-0-A-0.pdb
P00724	P00724	1	0	Structure	4eqv	1	F	0	100.0	95.7	24	532	-	A	0	100.0	95.7	24	532	-	P00724-P00724-EXP-4eqv.pdb1-F-0-A-0.pdb
P00729	P14306	1	0	Structure	1wpx	1	A	0	100.0	79.1	112	532	-	B	0	93.2	100.0	1	219	-	P00729-P14306-EXP-1wpx.pdb1-A-0-B-0.pdb
P00812	P00812	1	0	Model	5hj9	1	A	1	58.9	96.4	13	333	-	A	2	58.9	96.4	13	333	-	P00812-P00812-MDL-5hj9.pdb1-A-1-A-2.pdb
P00817	P00817	1	0	Structure	1e9g	1	B	0	99.6	98.6	2	284	-	A	0	99.6	99.0	2	285	-	P00817-P00817-EXP-1e9g.pdb1-B-0-A-0.pdb
P00830	P01097	1	0	Structure	3zia	1	N	0	100.0	92.0	39	508	-	T	0	97.2	42.4	23	58	-	P00830-P01097-EXP-3zia.pdb1-N-0-T-0.pdb
P00830	P07251	1	0	Structure	3zia	1	N	0	100.0	92.0	39	508	-	K	0	100.0	88.8	61	544	-	P00830-P07251-EXP-3zia.pdb1-N-0-K-0.pdb
P00830	P09457	1	0	Structure	6cp6	1	D	0	100.0	92.0	39	508	-	Y	0	100.0	78.3	24	189	-	P00830-P09457-EXP-6cp6.pdb1-D-0-Y-0.pdb
P00830	P38077	1	0	Structure	3zia	2	D	0	100.0	92.0	39	508	-	G	0	96.0	88.7	34	309	-	P00830-P38077-EXP-3zia.pdb2-D-0-G-0.pdb
P00854	P00854	1	0	Structure	6b8h	1	p	0	100.0	96.1	11	259	-	a	0	100.0	96.1	11	259	-	P00854-P00854-EXP-6b8h.pdb1-p-0-a-0.pdb
P00854	P00856	1	0	Structure	6b2z	1	a	0	100.0	96.1	11	259	-	A	0	100.0	100.0	1	48	-	P00854-P00856-EXP-6b2z.pdb1-a-0-A-0.pdb
P00854	P05626	1	0	Structure	6b8h	1	a	0	100.0	96.1	11	259	-	b	0	99.5	82.4	42	242	-	P00854-P05626-EXP-6b8h.pdb1-a-0-b-0.pdb
P00854	P30902	1	0	Structure	6b8h	1	p	0	100.0	96.1	11	259	-	r	0	95.7	94.3	11	174	-	P00854-P30902-EXP-6b8h.pdb1-p-0-r-0.pdb
P00854	P61829	1	0	Structure	6b8h	1	a	0	100.0	96.1	11	259	-	2	0	100.0	98.7	1	75	-	P00854-P61829-EXP-6b8h.pdb1-a-0-2-0.pdb
P00854	P81450	1	0	Structure	6b8h	1	p	0	100.0	96.1	11	259	-	w	0	100.0	100.0	1	59	-	P00854-P81450-EXP-6b8h.pdb1-p-0-w-0.pdb
P00854	P81451	1	0	Structure	6b2z	1	M	0	100.0	96.1	11	259	-	T	0	100.0	35.3	5	28	-	P00854-P81451-EXP-6b2z.pdb1-M-0-T-0.pdb
P00854	Q06405	1	0	Structure	6b8h	1	a	0	100.0	96.1	11	259	-	f	0	97.7	85.1	7	92	-	P00854-Q06405-EXP-6b8h.pdb1-a-0-f-0.pdb
P00856	P05626	1	0	Structure	6b8h	1	A	0	100.0	100.0	1	48	-	b	0	99.5	82.4	42	242	-	P00856-P05626-EXP-6b8h.pdb1-A-0-b-0.pdb
P00856	P30902	1	0	Structure	6b8h	1	A	0	100.0	100.0	1	48	-	d	0	95.7	94.3	11	174	-	P00856-P30902-EXP-6b8h.pdb1-A-0-d-0.pdb
P00856	P61829	1	0	Structure	6b8h	1	V	0	100.0	100.0	1	48	-	M	0	100.0	98.7	1	75	-	P00856-P61829-EXP-6b8h.pdb1-V-0-M-0.pdb
P00856	P81450	1	0	Structure	6b8h	1	A	0	100.0	100.0	1	48	-	i	0	100.0	100.0	1	59	-	P00856-P81450-EXP-6b8h.pdb1-A-0-i-0.pdb
P00856	Q06405	1	0	Structure	6b8h	1	A	0	100.0	100.0	1	48	-	f	0	97.7	85.1	7	92	-	P00856-Q06405-EXP-6b8h.pdb1-A-0-f-0.pdb
P00924	P00924	1	0	Structure	2al1	1	B	0	98.6	99.8	2	437	-	A	0	99.8	99.8	2	437	-	P00924-P00924-EXP-2al1.pdb1-B-0-A-0.pdb
P00942	P00942	1	0	Structure	1ney	1	B	0	98.8	99.6	2	248	-	A	0	98.8	99.6	2	248	-	P00942-P00942-EXP-1ney.pdb1-B-0-A-0.pdb
P00950	P00950	1	0	Structure	1qhf	1	B	1	100.0	97.2	2	241	-	A	1	100.0	97.2	2	241	-	P00950-P00950-EXP-1qhf.pdb1-B-1-A-1.pdb
P00958	P00958	1	0	Structure	2hsn	1	A	0	100.0	21.3	1	160	-	A	1	100.0	21.3	1	160	-	P00958-P00958-EXP-2hsn.pdb1-A-0-A-1.pdb
P00958	P46672	1	0	Structure	2hsn	1	A	1	100.0	21.3	1	160	-	B	1	100.0	31.9	1	120	-	P00958-P46672-EXP-2hsn.pdb1-A-1-B-1.pdb
P01094	P07267	1	0	Structure	1dpj	1	B	0	100.0	42.6	3	31	-	A	0	100.0	81.2	77	405	-	P01094-P07267-EXP-1dpj.pdb1-B-0-A-0.pdb
P01097	P07251	1	0	Structure	3zia	1	T	0	97.2	42.4	23	58	-	M	0	100.0	88.8	61	544	-	P01097-P07251-EXP-3zia.pdb1-T-0-M-0.pdb
P01097	P38077	1	0	Structure	3zia	1	T	0	97.2	42.4	23	58	-	Q	0	96.0	88.7	34	309	-	P01097-P38077-EXP-3zia.pdb1-T-0-Q-0.pdb
P01119	P01120	1	0	Model	4luc	1	B	0	64.4	52.8	10	172	-	A	0	65.0	50.6	10	172	-	P01119-P01120-MDL-4luc.pdb1-B-0-A-0.pdb
P01119	P04821	1	0	Dom_dom_model	6axf	-	H	-	57.1	51.5	12	171	Ras	G	-	28.1	10.3	1310	1477	RasGEF	P01119-P04821-MDD-Ras-RasGEF-6axf-H-5-167-G-157-338.pdb
P01120	P04821	1	0	Dom_dom_model	6axf	-	F	-	58.6	49.4	12	171	Ras	E	-	28.1	10.3	1310	1477	RasGEF	P01120-P04821-MDD-Ras-RasGEF-6axf-F-5-166-E-157-338.pdb
P01120	P07866	1	0	Dom_dom_model	6bvj	-	A	-	63.0	49.4	12	171	Ras	B	-	25.6	7.0	29	133	RasGEF_N	P01120-P07866-MDD-Ras-RasGEF_N-6bvj-A-5-165-B-600-717.pdb
P01123	P32864	1	0	Dom_dom_model	3cpj	-	B	-	46.6	78.2	10	170	Ras	G	-	21.3	59.7	46	434	GDI	P01123-P32864-MDD-Ras-GDI-3cpj-B-15-176-G-6-443.pdb
P01123	P36149	1	0	Structure	3cue	3	R	0	97.1	83.0	4	174	-	Q	0	100.0	97.4	6	193	-	P01123-P36149-EXP-3cue.pdb3-R-0-Q-0.pdb
P01123	P39958	1	0	Structure	2bcg	1	Y	0	100.0	94.2	3	196	-	G	0	100.0	98.0	5	446	-	P01123-P39958-EXP-2bcg.pdb1-Y-0-G-0.pdb
P01123	Q03630	1	0	Structure	3cue	2	L	0	97.1	83.0	4	174	-	I	0	91.7	98.1	1	156	-	P01123-Q03630-EXP-3cue.pdb2-L-0-I-0.pdb
P01123	Q03784	1	0	Structure	3cue	4	X	0	97.1	83.0	4	174	-	S	0	72.9	99.5	2	219	-	P01123-Q03784-EXP-3cue.pdb4-X-0-S-0.pdb
P01123	Q08484	1	0	Model	2g77	1	B	0	42.3	79.1	8	170	-	A	0	85.1	60.9	246	633	-	P01123-Q08484-MDL-2g77.pdb1-B-0-A-0.pdb
P02293	P02309	1	0	Structure	4jjn	1	H	0	100.0	70.2	38	129	-	F	0	100.0	88.3	13	103	-	P02293-P02309-EXP-4jjn.pdb1-H-0-F-0.pdb
P02293	P04911	1	0	Structure	4wnn	1	B	0	100.0	74.0	31	127	-	A	0	100.0	65.2	17	102	-	P02293-P04911-EXP-4wnn.pdb1-B-0-A-0.pdb
P02293	P04912	1	0	Structure	4wnn	1	B	0	100.0	74.0	31	127	-	A	0	100.0	65.2	17	102	-	P02293-P04912-EXP-4wnn.pdb1-B-0-A-0.pdb
P02293	P06701	1	0	Structure	4jjn	1	H	0	100.0	70.2	38	129	-	L	0	97.7	22.0	4	218	-	P02293-P06701-EXP-4jjn.pdb1-H-0-L-0.pdb
P02293	P32558	1	0	Structure	4wnn	4	D	0	100.0	74.0	31	127	-	T	0	100.0	0.6	967	972	-	P02293-P32558-EXP-4wnn.pdb4-D-0-T-0.pdb
P02293	P40019	1	0	Structure	2jss	-	A	-	100.0	72.5	37	131	-	B	-	100.0	40.5	64	125	-	P02293-P40019-EXP-pdb2jss.ent-A-0-B-0.pdb
P02293	Q03433	1	0	Structure	6gej	1	H	0	100.0	69.5	36	126	-	S	0	74.3	100.0	1	280	-	P02293-Q03433-EXP-6gej.pdb1-H-0-S-0.pdb
P02293	Q04636	1	0	Dom_dom_model	4z2m	-	G	-	13.5	52.7	36	104	Histone	B	-	16.5	14.1	391	473	Rtt106	P02293-Q04636-MDD-Histone-Rtt106-4z2m-G-58-131-B-808-895.pdb
P02293	Q05471	1	0	Structure	4m6b	2	D	0	100.0	72.5	37	131	-	F	0	74.2	2.0	599	629	-	P02293-Q05471-EXP-4m6b.pdb2-D-0-F-0.pdb
P02293	Q12373	1	0	Structure	5bt1	1	D	0	100.0	68.7	38	127	-	B	0	75.7	85.5	17	345	-	P02293-Q12373-EXP-5bt1.pdb1-D-0-B-0.pdb
P02293	Q12692	1	0	Model	1id3	1	H	0	100.0	72.5	37	131	-	G	0	65.1	78.4	22	126	-	P02293-Q12692-MDL-1id3.pdb1-H-0-G-0.pdb
